Ri,OID,Enclosure,Nr 52.2 Locus,Nr 52.2,Nr 52.4 Locus,Nr 52.4,Nr 52.7 Locus,Nr 52.7,Nr 52.11 Locus,Nr 52.11,Nr 60.2 Locus,Nr 60.2,Nr 60.5 Locus,Nr 60.5,Nr 60.11 Locus,Nr 60.11,Nr 60.34 Locus,Nr 60.34
R424,O424,61B_n,38,41,17,25,7,19,40,40,13,24,7,10,8,9,11,11
R425,O425,61B_n,40,41,8,11,17,25,42,42,17,17,10,23,9,12,10,24
R426,O426,61B_n,40,41,19,20,17,25,41,45,17,17,10,13,12,14,31,32
R427,O427,61B_n,31,33,21,26,9,23,38,45,13,19,5,10,8,8,11,11
R428,O428,61B_n,29,41,25,25,9,23,35,41,15,24,10,13,10,18,18,18
R429,O429,61B_n,7,7,17,17,19,21,54,56,9,15,10,14,12,20,9,10
R431,O431,61B_n,40,43,18,25,7,27,44,49,15,18,6,10,9,20,21,27
R432,O432,61B_n,40,47,11,23,9,23,38,43,13,24,5,10,12,14,11,12
R433,O433,61B_n,26,43,19,25,9,14,41,41,16,17,1,1,9,17,33,35
R434,O434,61B_n,31,42,20,26,18,24,37,41,16,16,11,14,8,8,14,14
R435,O435,61B_n,36,37,20,20,11,19,22,23,16,21,7,10,8,9,11,11
R436,O436,61B_n,29,41,11,19,13,15,35,37,14,14,4,10,7,14,31,33
R437,O437,61B_s,44,46,14,24,15,19,43,43,15,24,12,21,8,17,32,33
R439,O439,61B_s,35,36,11,21,9,17,41,41,16,20,17,17,17,17,19,20
R441,O441,61B_s,31,43,18,21,19,21,42,43,16,17,10,12,12,16,10,10
R442,O442,61B_s,42,47,11,20,5,13,25,41,16,18,12,17,11,19,10,13
R443,O443,61B_s,24,24,14,23,13,20,42,46,16,17,10,17,16,16,10,22
R444,O444,61B_s,37,39,11,11,13,19,42,42,15,16,12,12,17,18,32,33
R445,O445,61B_s,39,40,11,20,13,15,40,40,16,20,10,12,17,17,11,17
R447,O447,61B_s,38,40,20,28,24,25,40,41,20,20,13,13,16,16,29,29
R449,O449,61B_s,41,42,11,11,13,19,39,39,16,18,10,12,11,15,10,12
R451,O451,61B_s,47,48,11,14,5,25,40,42,16,16,10,12,11,15,32,36
R452,O452,61B_s,37,44,14,22,9,19,48,48,16,24,10,11,8,11,18,18
R453,O453,61B_s,42,43,17,25,13,13,34,48,27,27,3,5,12,17,29,29
R454,O454,61B_s,43,48,14,20,5,19,38,44,26,27,7,12,16,19,22,22
R455,O455,61B_s,45,46,11,20,5,25,41,41,16,18,17,24,6,11,11,11
R456,O456,61B_s,31,46,13,20,13,13,34,41,16,29,10,13,15,19,40,40
R457,O457,61B_s,36,48,11,11,3,7,40,40,16,17,12,17,11,17,27,27
R458,O458,61B_s,43,46,17,26,13,13,34,34,17,25,10,12,15,17,38,41
R459,O459,61B_s,47,48,11,20,1,7,40,46,16,23,24,24,17,19,23,25
R463,O463,61B_s,36,42,11,11,5,17,42,44,18,18,17,17,16,18,20,20
